Date,Open,High,Low,Close,Adj Close,Volume
2023-02-16,97.981003,97.981003,97.981003,97.981003,97.981003,0
2023-02-17,96.728996,96.733002,96.660004,96.733002,96.733002,85
2023-02-20,96.834000,96.834000,96.737000,96.737000,96.737000,162
2023-02-21,96.737999,96.737999,95.750000,95.750000,95.750000,12
2023-02-22,95.440002,95.586998,95.214996,95.586998,95.586998,515
2023-02-23,95.946999,96.085999,95.001999,95.693001,95.693001,24
2023-02-24,96.036003,96.072998,95.172997,95.172997,95.172997,175
2023-02-27,95.689003,95.997002,95.621002,95.684998,95.684998,161
2023-02-28,95.099998,95.099998,94.990997,95.098000,95.098000,125
2023-03-01,95.208000,95.285004,94.900002,94.900002,94.900002,46
2023-03-02,94.639999,94.970001,94.639999,94.970001,94.970001,12
2023-03-03,95.460999,96.370003,95.460999,96.370003,96.370003,33
2023-03-06,96.683998,96.753998,96.554001,96.753998,96.753998,255
2023-03-07,96.319000,96.755997,96.167000,96.167000,96.167000,43
2023-03-08,95.978996,96.216003,95.891998,95.891998,95.891998,224
2023-03-09,95.905998,96.130997,95.513000,96.109001,96.109001,172
2023-03-10,93.637001,94.594002,93.637001,93.820000,93.820000,154
2023-03-13,92.976997,92.976997,91.164001,92.382004,92.382004,71
2023-03-14,91.908997,92.280998,91.908997,92.279999,92.279999,163
2023-03-15,92.543999,92.739998,92.330002,92.675003,92.675003,128
2023-03-16,92.930000,93.668999,92.930000,93.668999,93.668999,75
2023-03-17,93.918999,94.075996,93.917999,93.917999,93.917999,238
2023-03-20,92.227997,92.956001,92.227997,92.956001,92.956001,159
2023-03-21,93.151001,93.569000,93.060997,93.398003,93.398003,50
2023-03-22,93.549004,93.629997,93.480003,93.629997,93.629997,25
2023-03-23,92.537003,92.571999,92.500000,92.571999,92.571999,2841
2023-03-24,92.835999,92.835999,92.510002,92.510002,92.510002,463
2023-03-27,93.921997,93.921997,93.322998,93.322998,93.322998,122
2023-03-28,93.740997,93.740997,92.978996,93.152000,93.152000,407
2023-03-29,93.709999,94.077003,93.709999,93.800003,93.800003,197
2023-03-30,94.455002,94.595001,94.455002,94.502998,94.502998,354
2023-03-31,94.507004,94.940002,94.507004,94.879997,94.879997,313
2023-04-03,95.791000,95.820999,95.699997,95.699997,95.699997,239
2023-04-04,95.808998,96.130997,95.309998,95.309998,95.309998,1218
2023-04-05,95.069000,95.069000,94.800003,94.941002,94.941002,414
2023-04-06,94.922997,95.182999,94.663002,94.663002,94.663002,671
2023-04-11,95.799004,95.799004,95.521004,95.633003,95.633003,607
2023-04-12,95.467003,96.124001,94.983002,94.983002,94.983002,1807
2023-04-13,95.111000,95.948997,94.273003,94.751999,94.751999,5793
2023-04-14,95.352997,95.578003,95.349998,95.550003,95.550003,151
2023-04-17,95.994003,96.274002,95.825996,96.274002,96.274002,288
2023-04-18,96.370003,96.550003,96.261002,96.261002,96.261002,884
2023-04-19,96.017998,96.017998,95.800003,95.860001,95.860001,183
2023-04-20,95.832001,95.832001,95.610001,95.792999,95.792999,28
2023-04-21,95.635002,95.801003,95.163002,95.471001,95.471001,532
2023-04-24,95.339996,95.391998,95.153000,95.213997,95.213997,847
2023-04-25,94.837997,95.000000,94.741997,94.961998,94.961998,186
2023-04-26,94.476997,94.830002,93.750000,93.758003,93.758003,118
2023-04-27,93.974998,94.542000,93.941002,94.542000,94.542000,375
2023-04-28,95.039001,95.600998,94.939003,95.375000,95.375000,171
2023-05-02,95.978996,96.161003,94.762001,94.762001,94.762001,1227
2023-05-03,94.809998,94.809998,94.532997,94.650002,94.650002,186
2023-05-04,94.190002,94.190002,93.954002,93.977997,93.977997,93
2023-05-05,94.245003,95.080002,94.050003,95.070000,95.070000,625
2023-05-08,95.235001,95.521004,95.235001,95.521004,95.521004,335
2023-05-09,95.720001,95.806000,95.487000,95.540001,95.540001,185
2023-05-10,95.681000,95.681000,95.599998,95.599998,95.599998,50
2023-05-11,96.426003,96.449997,95.750000,95.750000,95.750000,464
2023-05-12,96.097000,96.519997,96.097000,96.332001,96.332001,213
2023-05-15,96.757004,96.757004,96.757004,96.547997,96.547997,74
2023-05-16,96.625999,96.736000,96.300003,96.397003,96.397003,323
2023-05-17,96.299004,96.299004,96.299004,96.653999,96.653999,6
2023-05-18,97.285004,97.766998,97.285004,97.907997,97.907997,39
2023-05-19,98.224998,98.475998,98.199997,98.036003,98.036003,272
2023-05-22,98.107002,98.121002,97.848999,98.264999,98.264999,241
2023-05-23,97.963997,98.129997,97.963997,97.971001,97.971001,94
2023-05-24,97.125000,97.142998,96.588997,96.552002,96.552002,1145
2023-05-25,97.120003,97.205002,97.120003,96.997002,96.997002,128
2023-05-26,97.309998,97.347000,97.180000,98.321999,98.321999,1762
2023-05-29,98.583000,98.725998,98.470001,98.533997,98.533997,453
2023-05-30,98.690002,99.000000,98.119003,97.987999,97.987999,432
2023-05-31,97.943001,98.286003,97.550003,97.583000,97.583000,560
2023-06-01,98.041000,98.323997,97.940002,97.952003,97.952003,55
2023-06-02,98.608002,99.926003,98.608002,99.877998,99.877998,67
2023-06-05,100.140999,100.341003,100.000000,100.044998,100.044998,300
2023-06-06,99.829002,100.599998,99.829002,100.310997,100.310997,523
2023-06-07,100.325996,100.445999,100.099998,100.123001,100.123001,233
2023-06-08,99.819000,99.906998,99.574997,99.646004,99.646004,461
2023-06-09,99.875999,100.419998,99.851997,100.280998,100.280998,354
2023-06-12,100.600998,100.650002,100.299004,100.402000,100.402000,77
2023-06-13,100.992996,101.422997,100.806999,101.355003,101.355003,332
2023-06-14,101.274002,101.644997,101.274002,101.316002,101.316002,1073
2023-06-15,101.257004,101.377998,100.699997,101.164001,101.164001,278
2023-06-16,101.209000,102.021004,101.209000,101.459000,101.459000,508
2023-06-19,101.102997,101.164001,101.000000,100.816002,100.816002,1356
2023-06-20,100.600998,100.737000,100.199997,100.191002,100.191002,389
2023-06-21,100.317001,100.400002,99.849998,99.597000,99.597000,766
2023-06-22,99.053001,99.494003,98.900002,99.347000,99.347000,852
2023-06-23,99.271004,100.334999,99.271004,99.300003,99.300003,813
2023-06-26,99.271004,99.288002,98.989998,99.033997,99.033997,499
2023-06-27,99.008003,99.183998,98.779999,98.948997,98.948997,353
2023-06-28,99.444000,99.607002,99.444000,99.719002,99.719002,14
2023-06-29,99.821999,100.292999,99.750000,100.111000,100.111000,516
2023-06-30,100.536003,101.236000,100.536003,100.980003,100.980003,238
2023-07-03,101.521004,101.682999,101.339996,101.260002,101.260002,398
2023-07-04,101.537003,101.613998,101.346001,101.453003,101.453003,908
2023-07-05,101.240997,101.406998,101.000000,101.280998,101.280998,191
2023-07-06,100.768997,100.837997,99.500000,99.683998,99.683998,5173
2023-07-07,99.718002,100.153000,99.620003,99.608002,99.608002,470
2023-07-10,99.081001,99.432999,98.900002,99.197998,99.197998,2281
2023-07-11,99.431000,99.834000,99.250000,99.713997,99.713997,336
2023-07-12,100.035004,100.516998,100.004997,100.301003,100.301003,244
2023-07-13,100.228996,100.556000,100.150002,100.296997,100.296997,508
2023-07-14,100.267998,100.450996,100.220001,100.190002,100.190002,145
2023-07-17,99.889000,100.248001,99.839996,100.067001,100.067001,914
2023-07-18,99.980003,100.503998,99.945000,100.563004,100.563004,56
2023-07-19,101.081001,101.640999,100.900002,101.328003,101.328003,266
2023-07-20,100.870003,101.382004,100.870003,101.297997,101.297997,121
2023-07-21,101.329002,101.657997,101.233002,101.488998,101.488998,101
2023-07-24,101.188004,102.242996,101.188004,102.153999,102.153999,547
2023-07-25,102.377998,102.981003,102.203003,102.666000,102.666000,511
2023-07-26,102.691002,102.737000,102.314003,102.293999,102.293999,277
2023-07-27,102.778000,103.749001,102.778000,103.664001,103.664001,209
2023-07-28,103.355003,103.507004,103.320000,103.557999,103.557999,174
2023-07-31,103.556999,103.802002,103.343002,103.811996,103.811996,1101
2023-08-01,103.967003,104.042999,103.500000,103.491997,103.491997,284
2023-08-02,102.524002,102.931000,102.239998,102.267998,102.267998,1200
2023-08-03,102.132004,102.294998,101.639999,101.783997,101.783997,715
2023-08-04,102.084999,102.279999,101.599998,101.666000,101.666000,800
